"","num_threads","Vertex Count","Parallel","Serial","ratio"
"1",2,1024,4499.728027,8966.560547,0.50183434366096
"2",4,1024,2453.428955,8951.294922,0.274086484288446
"3",8,1024,1404.870972,8913.519531,0.157611251886985
"4",16,1024,764.099976,8970.419922,0.0851799561942514
"5",32,1024,941.504028,8992.023438,0.104704356532395
"6",64,1024,1149.130981,8952.446289,0.128359438739326
