"","num_threads","Vertex Count","Parallel","Serial","ratio"
"1",2,32,0.776,0.828,0.93719806763285
"2",4,32,0.652,0.825,0.79030303030303
"3",8,32,1.511,0.825,1.83151515151515
"4",16,32,2.404,0.527,4.56166982922201
"5",32,32,3.62,0.339,10.6784660766962
"6",64,32,7.683,0.337,22.7982195845697
