"","num_threads","Vertex Count","Parallel","Serial","ratio"
"1",2,8,0.197,0.017,11.5882352941176
"2",4,8,0.405,0.017,23.8235294117647
"3",8,8,0.795,0.017,46.7647058823529
"4",16,8,0.806,0.011,73.2727272727273
"5",32,8,0.484,0.008,60.5
"6",64,8,0.772,0.007,110.285714285714
