"","num_threads","Vertex Count","Parallel","Serial","ratio"
"1",2,128,17.02,20.044001,0.849131867435049
"2",4,128,10.164,22.891001,0.444017279978276
"3",8,128,7.907,23.855,0.331460909662545
"4",16,128,10.352,24.214001,0.427521251031583
"5",32,128,15.511,21.305,0.728045059845107
"6",64,128,27.479,23.408001,1.17391485073843
