"","num_threads","Vertex Count","Parallel","Serial","ratio"
"1",2,64,3.672,6.234,0.589027911453321
"2",4,64,2.768,6.184,0.447606727037516
"3",8,64,3.391,2.33,1.45536480686695
"4",16,64,5.096,5.048,1.0095087163233
"5",32,64,6.674,2.53,2.63794466403162
"6",64,64,8.998,3.193,2.81803946132164
