"","num_threads","Vertex Count","Parallel","Serial","ratio"
"1",2,2,0.377,0.001,377
"2",4,2,0.276,0.001,276
"3",8,2,0.265,0.001,265
"4",16,2,0.322,0.001,322
"5",32,2,0.239,0.001,239
"6",64,2,0.285,0,Inf
