"","num_threads","Vertex Count","Parallel","Serial","ratio"
"1",2,4,0.282,0.003,94
"2",4,4,0.461,0.003,153.666666666667
"3",8,4,0.28,0.002,140
"4",16,4,0.393,0.001,393
"5",32,4,0.341,0.002,170.5
"6",64,4,0.521,0.002,260.5
