"","num_threads","Vertex Count","Parallel","Serial","ratio"
"1",2,16,0.321,0.046,6.97826086956522
"2",4,16,0.362,0.068,5.32352941176471
"3",8,16,0.82,0.111,7.38738738738739
"4",16,16,1.733,0.046,37.6739130434783
"5",32,16,1.444,0.046,31.3913043478261
"6",64,16,1.428,0.046,31.0434782608696
